LODLaundromat_ID,#triples,foaf,geo,owl,dcterms,dbo,skos,prov,lgdo,gsp,ngeo,isbd
043e989bbe5ab6c2dec55696d3936713,10,1,1,,,1,,,,,,
0fee2824bc25ba00f62edf48bd50823a,10,1,,,,,,,1,,,
164e576ae00b3053a1f80ad89f87f133,10,1,,,,,,,1,,,
299d24e283ae87893ce282a5299625c1,10,1,,,,,,,1,,,
3313eda2a78dcb20571d1251d324f88f,10,1,,,1,1,,,,,,
4065247e2c7ef5eb97f0e486ee57d5ae,10,1,,1,1,,,,,,,
44fd3f57c491deda92a4684810ba939e,10,1,,,,,,,1,,,
55b14d7a0b0054153abc5c1c3701ab9b,10,1,,,,,,,1,,,
636d7283606c09d8fc0a3c51fa41b6a3,10,1,1,,,1,,,,,,
65debd327a675edfcc2ca5e33d956d48,10,1,1,,1,,,,,,,
6627fc0e6a1ecae10d25a6f5b42512b8,10,1,,,,1,,,1,,,
696513169b79f21556ba6131f532b9e7,10,1,,,1,1,,,,,,
6ab757cd74b6a2f3293271cb7caddf82,10,1,,,,1,,,,,,
6f9f9bbe935c5770582990e05451b7ee,10,1,1,,1,1,,,,,,
7a5cbeb6d0d84a2d2bf7ebed8b67f866,10,1,,,1,1,,,,,,
7b2294a338a97ef9029afd45df9a636a,10,1,,,1,1,,,,,,
92ec2d3e130663ac5e2030d8244a513a,10,1,,,,1,,,,,,
ae31d9d89e07d6c2c18f211504566b08,10,1,1,,,,,,1,,,
b858b5ed5b01d7b38c3521a61bfdb096,10,1,1,,,1,,,,,,
c4c0a8b3b84809d4101f511c002f792a,10,1,,,,1,,1,,,,
c533b788cbc91f958d24b3fb92f099ec,10,1,,,,,,,1,,,
c75644fa3b3cd61200d51d7d320a5cb9,10,1,,,,,,,1,,,
c834a297b696020bb6f9e60d11fe395c,10,1,,,,,,,1,,,
da8be7ef4c5d36e5800af577ec16943c,10,1,1,,,,,,,,,
eb244245592e5e86de5d401c5b9f1f78,10,1,1,,,,,,1,,,
042f7d2fd2d5fc1e56608baa80a4132a,100,1,,,,,,1,1,,,
0a0b75cab67a8d697ddda47db1671ca0,100,1,1,,1,1,,,,,,
10554556abc5b066170758043b73899a,100,1,,,1,1,,,,,,
11ca2ab8beeb8d5627dae58ac160e021,100,1,,,,,1,,,,,
1ec9694033ab4fffe747fbf6f6e80dfc,100,1,1,,,1,,1,,,,
2d5439de71d11f67fd814c464ede4f48,100,1,,,,1,,,,,,
3f857e541b2d98c56920f5895c58f864,100,1,1,,1,,,,,,,
40fafd5cda6a3358c81bf38bad91346f,100,1,,,,,,1,1,,,
4d6f9a4c50601fe07f77883512fe9b53,100,1,,1,,,,,,,,
4f699599d1985542a252981bb020515e,100,1,,,,,,,1,,,
5e96f4cdace122cd12bfe8d046d92240,100,1,1,,1,1,,,,,,
64c59125c9bd6b9321d376416cbeaddc,100,1,1,,1,1,1,,1,,,
665a368e0a514c5c4eac2100ea983cd5,100,1,1,,,,,1,,,,
68f2f4d3a20f91e8d84e8c5383181feb,100,1,,1,,,,,,,,
6f7330d033e0c87444281578dbf744b5,100,1,1,,,1,,,,,,
765ebc02777bc99c56d76570f56bef84,100,1,1,,1,1,1,,,,,
7851c0d0ee8f03cfba824d1713959a4b,100,1,1,,,,,1,,,,
795609bfa57aff126171d0812a11f789,100,1,1,,1,1,,,,,,
8334949d6afbf4aee07dbe790747184c,100,1,1,,,,,1,,,,
836c51d84fae5c535de4832bbd47bb8f,100,1,1,,1,1,1,,,,,
86c3434269a96ce0b92ce8dbc8b92bec,100,1,,,,,1,,,,,
8a633c5c9e71f6f6c3428c0c462fa6e3,100,1,1,,,,,1,,,,
8b9d1721dad94875aae8e803fd8bec79,100,1,1,,,,,1,,,,
96379d3483b1ba538b63b0606634b1e2,100,1,1,,1,,,,,,,
9af0643d18c833108e2c5756a5bb63a0,100,1,1,,1,1,,,,,,
9e43d685a9ac7b4731a88592a2602041,100,1,1,,1,1,,,,,,
a7b4e6250289aaa4d062f6d1b3dda0d1,100,1,,1,,,,,,,,
aad1c3ff5447e948f4633a4a1d642ce4,100,1,1,,1,1,1,,,,,
b0da42ee7445af586fe6761237cd53ae,100,1,1,,,,,1,,,,
bb2404c2857faf73254d9746d344e313,100,1,,1,,,,,,,,
bccbd67b61585f7849a4243043ee5468,100,1,1,,,,,1,,,,
bfee119191116ad9250295bc98894507,100,1,1,,1,1,,,,,,
c52931ddc7a44a69aa07fd9121241334,100,1,,,,,,,1,,,
c6c83eb6f1fe3f497636088020e4cba7,100,1,,,,,,,1,,,
c82e2a772dc5611d3bcb4978a6412fd3,100,1,,,,,,,,,1,
c89da69ad6a5c3de90e602fb913efd2e,100,1,1,,,,,1,,,,
cc98ae2fdc077a702dfaa1db77c8ffdf,100,1,1,1,1,1,,1,,,,
e5f89ebb2136d78b1616aefb0dd2490f,100,1,1,1,1,1,,,,,,
fbb2cf3b603864ee5a4a657e54c7721f,100,1,1,1,1,1,,,,,,
15f0ab8a41a79e2a0fe23563f998750d,1000,1,,,,1,,,,,,
1d3832c998d00949459cb93898d5c7f1,1000,1,,,,1,,,,,,
1db5ec77e444f4f38af2fda329ad1aa6,1000,1,1,,1,1,,,,,,
212ed18cf13fd743ea27572a98f546fc,1000,1,,,1,1,,,,,,
48466fd4f3c332173753641b70eb73f7,1000,1,1,,,1,,,,,,
4ee27d00b9aebdf7e8cda66d01123263,1000,1,1,,1,1,,,,,,
5432219778cf6f0499743510fcfcf875,1000,1,1,,1,1,,,,,,
5f9b0683b1c38e359cea6e8cf33fe4bb,1000,1,,,,1,,,,,,
80db9884dc853b095ffa69d682298cec,1000,1,,,1,,,,,,,
89f1072e779a798e7dd64eeb1abc7dbe,1000,1,1,,,1,,,,,,
9b42d2216d9c4130198141550768ffbd,1000,1,,,,,1,,,,,
a0ef8d2c379df973ed735a4ee68dcdf4,1000,1,1,,,1,,,,,,
a8c4e07dc42fa63163ff6bd243c9262a,1000,1,,,,,1,,,,,
b15634fcd88e4a40e28a2f022818e851,1000,1,,,1,1,,1,,,,
f7ac7169d505f14b32eac0b6c0b4425b,1000,1,,,,1,,,,,,
004084e4f3d953bd8185aca73ee85e1f,10000,1,1,1,1,1,1,,1,,,
0158de937b12f2c6e0d79ab2cdc917ea,10000,1,,,,,,1,1,,,
023df137492691848f46531b1f8c1565,10000,1,1,,,1,,,,,,
192e04842a194f03ccf28f176926cdaf,10000,1,1,1,,1,,1,,,,
1f0c54edcb69eb98e2d84a0568c09b9b,10000,1,1,,1,,,,,,,
250c5d4adadf9ff556ace20993ea211e,10000,1,1,,,,,,1,,,
26fee3bdb56020f5905b01c1bb80570a,10000,1,,,1,,,,,,,
2c5ed07425d59bb94cd4becf89b6b8ce,10000,1,1,1,1,1,1,,1,,,
2dd71a54f590333bc3563328c1cffc26,10000,1,,1,,,,,,,,
2e50d044d17b49420bc1c7893b22b67a,10000,1,1,,,1,,,,,,
2e5237c25e3ef1bbb41ea1e05a38f7df,10000,1,,1,,,,,,,,
3702be485e15b728bfe7ae798bcc6bf2,10000,1,1,,1,,,1,,,,
3af076e16feb19fb7f7dd9c473d60541,10000,1,1,1,1,,,,,,,
4928fe76f07d522e421e72d89afcc512,10000,1,,,,,1,,,,,
4dc9cc37c01d2b2395d6d8015404f416,10000,1,,1,,,,,,,,
500d710a69c92b649feeed877b3e1368,10000,1,1,,,1,,,,,,
511acd861438e5e794867680d2963da2,10000,1,,1,,,,,,,,
547cecca35a988723168096eaf2de4e6,10000,1,,1,,,,,,,,
5b6b243e40806e1a1b530a334eb322e5,10000,1,,,,,1,,,,,
5c15e329e48cd0a892d0b67a39b79c2c,10000,1,1,,1,,,,,,,
5c4c5093cc11467b26987fcefff23f41,10000,1,,,1,,,1,1,,,
5cd50b5bb9c4f05bac3d9a830d8a04d0,10000,1,,,1,,,1,1,,,
5d5053bc3f7b5e4263cb4bb0abf63be8,10000,1,1,1,,,,,,,,
5dc7d4a9eddd589b903c0a9db62bef27,10000,1,1,1,,,,,,,,
63fad06ba8efdde46bd6b8d94895fc06,10000,1,1,1,1,,,,,,,
652f3ec6222bad3fca5da4c4300aa499,10000,1,,,1,,,,,,,
6a818996093f0b4e530668126bc77687,10000,1,,,,,1,,,,,
6cb950d599a31395077d2128be08f656,10000,1,1,1,1,,,,,,,
6d5ac06e52f3e4e8bf056a734cd34595,10000,1,,,1,,,,,,,
6e4878f787fc9748b5e28d4aff6b4659,10000,1,,,,,1,,,,,
6f51209846dc8fcebf06f8218315a581,10000,1,1,1,,,,,,,,
751c3f6aa8ce4f5d28faa9dd0f97362e,10000,1,1,,1,1,,1,,,,
7570545dc6d58c659bf192fa92a739d3,10000,1,1,1,1,1,,,,,,
7a7ec30dbc6e0bc4b0f2cf6b4e4f734f,10000,1,1,,,,,1,,,,
7fb79d15be0ba4e88ce9936c553043de,10000,1,1,1,1,1,1,,1,,,
82d61aac4118fc83640df9d1dc5e62b1,10000,1,,,,,,1,,,,
85e6457ae0a188046ec007a2d1297f94,10000,1,,,,,1,,,,,
8845d517f14c4da52fbceed290e6cd4e,10000,1,,,1,,,,,,,
8bad0e8b3387eadba17d589e44b9d437,10000,1,,1,,,,,,,,
8cc80cbf2a0f03bc3c084ef3ca2bcf26,10000,1,,,,1,,,,,,
8f85f1e5eece9bf7e10df44811eeead4,10000,1,,,,,,,1,,,
91857c5faded56e53f9b097a9723f342,10000,1,1,,,1,,,,,,
9267671b890fccb158ccd8df38cd6386,10000,1,,,,1,,,,,,
988f19bec416d16c98c902b2eb636e6d,10000,1,,,,,,1,1,,,
994a57fa8b8699e930a8a8a5b0bf1834,10000,1,,,,1,,,,,,
a73a5dbfae59246610f1e76dd315036a,10000,1,,,,,,,1,,,
af8fe95a008344a4a8b6e9138cba039c,10000,1,,,1,,,,,,,
b043a2a8f2bbc75e64c8a1d7e44af42a,10000,1,1,1,1,1,,,,,,
b0a96345feeab343316784e9ecf7b911,10000,1,,,,1,,,,,,
b4f10e43f879cbd4a5a7dd518f3db31b,10000,1,,,,,,1,,,,
bcffe9f8c39e1f714e1d0ca0c06d236a,10000,1,,,1,,,,,,,
c198692005b798ef74bc20a83cb0d292,10000,1,1,,,1,,,,,,
c1f45db3025eab444589cdb63777aa23,10000,1,,,,,1,,,,,
c2487cc995ffef689764caab17f207a4,10000,1,1,1,1,1,1,,1,,,
c335af93b3c22f61290ba54a9930e13d,10000,1,1,1,,1,,1,,,,
cf7c4a56f64e38c9a31ab45124d6f6ec,10000,1,1,,1,,,,1,,,
d1164dd81e8f3ab79f7f6cadd28e2f6f,10000,1,1,1,1,,,,,,,
d3351953c66df6fa81a29a063101ab99,10000,1,1,,,1,,,,,,
daebdf2ad22b8eb26c638c26a8c0d5cc,10000,1,,,,,1,,,,,
de5440cd08bfc6590add5c82d0fb9ac6,10000,1,,,,,1,,,,,
e625ce51380f4bdbb0c3bcfdfdb846ec,10000,1,,,,1,,,,,,
